"1";"russia ha expelled dutch reporter newspaper ha sai";"0.00025";"0.77661";"0.00025";"0.00025";"0.00025";"0.00025";"0.02529";"0.01528";"0.04282";"0.00025";"0.00025";"0.13048";"0.00776"
"2";"largest important event mathematical calendar take";"0.00033";"0.00033";"0.03660";"0.00692";"0.00033";"0.07287";"0.00033";"0.15199";"0.05638";"0.00033";"0.22123";"0.00363";"0.44873"
"3";"earlier today set three question russian math comp";"0.00025";"0.00025";"0.11402";"0.00767";"0.00025";"0.09671";"0.00025";"0.11650";"0.00025";"0.00025";"0.26985";"0.01509";"0.37868"
"4";"labour ha asked conservative check party ha made d";"0.00228";"0.04573";"0.00021";"0.00435";"0.16987";"0.00021";"0.00021";"0.00021";"0.00021";"0.00021";"0.00021";"0.77612";"0.00021"
"5";"russia ha hosted high profile international talk a";"0.00022";"0.24675";"0.07066";"0.00022";"0.00242";"0.00022";"0.60775";"0.00022";"0.00022";"0.00022";"0.00022";"0.07066";"0.00022"
"6";"russia may dissolve memorial country ’ premier hum";"0.00016";"0.54998";"0.00016";"0.01128";"0.04306";"0.00016";"0.00016";"0.00016";"0.00969";"0.00016";"0.03671";"0.21150";"0.13682"
"7";"russia ha accused west building force border well ";"0.00031";"0.93025";"0.02231";"0.00031";"0.00031";"0.00031";"0.00031";"0.00031";"0.00346";"0.04116";"0.00031";"0.00031";"0.00031"
"8";"germany ’ new chancellor faced pressure fellow lea";"0.02838";"0.91274";"0.00023";"0.00023";"0.00023";"0.00258";"0.00258";"0.00023";"0.01665";"0.00023";"0.02604";"0.00962";"0.00023"
"9";"nato secretary general jens stoltenberg ha caution";"0.04689";"0.90410";"0.00021";"0.00446";"0.04265";"0.00021";"0.00021";"0.00021";"0.00021";"0.00021";"0.00021";"0.00021";"0.00021"
"10";"good morning malcolm turnbull welcome climate focu";"0.04047";"0.06699";"0.00012";"0.07967";"0.04047";"0.00012";"0.00588";"0.01626";"0.49937";"0.02779";"0.05431";"0.08544";"0.08313"
"11";"swift reprisal package russia – including u troop ";"0.07472";"0.83052";"0.01460";"0.00029";"0.00029";"0.00029";"0.06900";"0.00601";"0.00029";"0.00029";"0.00029";"0.00315";"0.00029"
"12";"u say ha evidence russia ha made plan large scale ";"0.03762";"0.90043";"0.00206";"0.01890";"0.01329";"0.00019";"0.01142";"0.00019";"0.00393";"0.01142";"0.00019";"0.00019";"0.00019"
"13";"man putin ’ kill 10pm channel 4 horror absurdity j";"0.00028";"0.08260";"0.00028";"0.00028";"0.00312";"0.14221";"0.00028";"0.08544";"0.04854";"0.00028";"0.22452";"0.01731";"0.39483"
"14";"serbia ’ president aleksandar vui ha lauded tie kr";"0.11399";"0.75641";"0.00022";"0.00245";"0.00022";"0.09614";"0.01138";"0.00022";"0.00022";"0.01807";"0.00022";"0.00022";"0.00022"
"15";"foreign minister g7 group rich democracy warned ru";"0.01806";"0.80654";"0.00018";"0.00018";"0.10209";"0.01269";"0.01448";"0.00018";"0.00018";"0.00018";"0.00018";"0.04488";"0.00018"
"16";"flatbed rail wagon speeding south west russia last";"0.01118";"0.83283";"0.00016";"0.00016";"0.00016";"0.00016";"0.00645";"0.00016";"0.00331";"0.03793";"0.08988";"0.01747";"0.00016"
"17";"russia ha admitted destroying one satellite missil";"0.00029";"0.32060";"0.00029";"0.02968";"0.05025";"0.00029";"0.05613";"0.00029";"0.14428";"0.00029";"0.00029";"0.39700";"0.00029"
"18";"joe biden go tuesday ’ virtual summit vladimir put";"0.17268";"0.63549";"0.00032";"0.07692";"0.00032";"0.02905";"0.00032";"0.00032";"0.00032";"0.04820";"0.00032";"0.03543";"0.00032"
"19";"moscow authority announced weeklong closure non es";"0.00033";"0.14445";"0.81592";"0.00033";"0.01343";"0.00688";"0.01015";"0.00360";"0.00033";"0.00033";"0.00033";"0.00360";"0.00033"
"20";"russian authority threatened shutter memorial coun";"0.00048";"0.68066";"0.00048";"0.00048";"0.02460";"0.00048";"0.00048";"0.00048";"0.00048";"0.00048";"0.00048";"0.21274";"0.07767"
"21";"vladimir putin ha warned nato country deploying we";"0.00237";"0.93065";"0.00022";"0.00022";"0.00022";"0.00022";"0.04760";"0.00237";"0.00022";"0.01529";"0.00022";"0.00022";"0.00022"
"22";"natural gas market ha entered uncharted territory ";"0.54947";"0.35713";"0.00020";"0.00020";"0.00813";"0.00020";"0.00218";"0.00020";"0.00218";"0.04184";"0.03787";"0.00020";"0.00020"
"23";"russia ukraine enforcing new coronavirus restricti";"0.00221";"0.21737";"0.69395";"0.00020";"0.03841";"0.00221";"0.00020";"0.00020";"0.04042";"0.00221";"0.00020";"0.00221";"0.00020"
"24";"donald trump ha demanded pulitzer prize board resc";"0.00026";"0.05476";"0.00026";"0.41812";"0.00026";"0.00026";"0.00545";"0.00285";"0.00026";"0.00026";"0.01843";"0.45964";"0.03919"
"25";"russia ha reported record number covid death four ";"0.00029";"0.10934";"0.84910";"0.00029";"0.02387";"0.00029";"0.00029";"0.00619";"0.00029";"0.00029";"0.00324";"0.00324";"0.00324"
"26";"outgoing head uk ’ armed force ha said military re";"0.00031";"0.39558";"0.00031";"0.01587";"0.04077";"0.00031";"0.32711";"0.00031";"0.00342";"0.00031";"0.20573";"0.00654";"0.00342"
"27";"u ha said would send reinforcement nato ’ eastern ";"0.00015";"0.90251";"0.00015";"0.00015";"0.03351";"0.00015";"0.06253";"0.00015";"0.00015";"0.00015";"0.00015";"0.00015";"0.00015"
"28";"russia ha endured worst forest fire season country";"0.04774";"0.04458";"0.08568";"0.00348";"0.00032";"0.00348";"0.01296";"0.00032";"0.00032";"0.67373";"0.08568";"0.00348";"0.03825"
"29";"britain west becoming embroiled clash value russia";"0.00030";"0.42722";"0.03884";"0.00326";"0.00030";"0.00030";"0.00030";"0.00326";"0.00623";"0.00030";"0.00030";"0.51912";"0.00030"
"30";"dmitry muratov saw norwegian number flash phone as";"0.00031";"0.19951";"0.00031";"0.00031";"0.02176";"0.00031";"0.00031";"0.00031";"0.00031";"0.00031";"0.00031";"0.64389";"0.13209"
